Id,Price hat
3,15318.162764215838
4,14817.976716201943
6,13052.662211755227
7,13363.69929272182
8,13682.410181115536
9,15038.55996550932
10,14285.730297147522
12,18270.34842045736
15,16619.34841666428
19,17848.49634887876
25,17558.397254162985
29,17055.537748854684
32,15870.197201414905
35,15059.989483858333
40,15278.393392070322
45,14668.251225167543
46,16505.853132367683
50,16013.479761459328
51,15196.66846325112
61,15164.495256940347
68,15402.814003383399
69,18791.951202782762
72,14373.043822230155
74,15314.735758034683
75,17649.863977956957
80,15018.526521731628
82,15298.759223998979
83,15554.140086126103
90,18707.58223460264
96,19071.74645186082
103,17740.023717748423
108,18461.97882112621
111,50040.177426897404
113,28861.999924750602
121,18940.36835833309
122,16265.371784778741
125,18842.134939188603
141,18823.96297369638
145,17681.894560158074
147,17716.16097038038
155,19086.18705005104
157,18498.665494083256
159,19429.928114849146
162,21689.246177043606
172,38797.96184976169
175,19621.56958872036
178,20155.32035948507
181,26782.204755831102
182,22399.770723716832
183,25060.522152103444
184,29106.168989521524
187,42473.93191128165
191,10628.917080304116
192,11083.299986444012
194,10756.79823298052
197,11735.61346233034
199,11544.524206195916
201,12114.501599533698
204,11771.411339002545
208,11625.028005481005
210,11505.211776123853
213,11677.537098745292
218,13228.236282189724
219,12083.402780683848
220,11690.043819020932
221,12517.921379415204
222,11355.439532197866
224,12253.784340265574
232,11836.236661389603
235,12278.254524071086
240,11423.999739604325
241,11953.647665522001
244,11564.72513726685
245,13501.078233751221
246,13508.891225020803
247,12643.46847367349
248,12222.017741742067
252,13543.58113908342
259,12013.371468394094
260,11533.082559071518
262,11935.945981327115
267,12906.633360341177
268,12062.543929121979
271,12260.127941575392
273,12932.566733749758
275,13535.299344120416
282,13419.512140041428
283,12690.014052626295
294,12953.39714304822
299,12790.052586620173
303,12685.686015229125
305,12979.374934828455
307,12690.99711307456
311,12566.932171739774
314,12076.94123422141
315,12501.282327380533
324,12832.010889228808
326,12584.345168996637
328,12190.545616188367
331,12571.314428274494
339,13580.170591217857
341,12641.79229298123
342,12803.094958022386
356,13547.355463645876
361,12857.450598089577
363,13457.272335299374
368,13226.124834555989
374,14408.347457831826
376,14239.345882655869
378,13488.027057481819
381,9357.95394443355
394,9803.749120250033
395,10164.579215968477
400,10485.330789694164
402,10103.693954274298
403,10221.637260391048
405,9491.26276322332
406,10747.422766309493
408,10188.166243227115
411,10671.015338400097
412,10203.915422076823
415,10508.615828554817
422,9738.654110293706
424,9993.514514971868
425,10411.848460392743
426,10585.439899292414
427,10117.427952888069
428,11425.6711885347
432,10837.02172717909
433,10839.980980706634
436,10988.501004459218
437,10550.18106191614
438,10507.36776497282
440,10685.326715262678
441,9879.41359612341
446,10435.338144770707
448,10922.691385904165
449,10323.269112791924
453,10497.65362993462
459,10052.958067237276
460,10057.709519024414
461,10532.741632564595
462,10183.386611747903
469,11505.994798856196
470,10293.751677540478
472,10115.354883639653
473,10590.880484652133
474,10309.903781664756
480,10259.330222685323
482,10574.04285739887
486,9927.355706462324
500,10516.741701976538
502,10331.856960562196
509,10798.44409566481
511,10738.57605691322
516,10881.29280166253
518,10181.124717974733
530,10339.563303836876
531,10540.692580831848
533,11551.23261112398
535,10798.16103627883
543,11244.309708282964
547,11332.094573786993
551,10627.476270289206
552,11646.095185940825
554,11543.901287369572
560,11362.74191259109
561,10498.154101613783
566,11394.309888421765
568,10320.29458602714
572,10830.510051077183
579,11438.427657418157
580,12127.582486440222
582,10532.290741037572
583,12154.274144320983
591,11453.245999896531
595,10954.544247122532
598,11477.22205553798
602,12609.208454262482
605,24396.467279833672
609,7959.517675873185
613,8115.068151054803
614,8093.965318994609
616,8965.743744138981
622,8518.736097874767
623,8439.998870154375
625,8933.039833156176
633,8980.624988167801
634,9084.23913923707
643,8443.15872748171
645,8601.719315781404
647,9745.953150699088
649,8610.146303467845
654,9442.76036453571
656,8762.708487185846
668,9266.427467975085
670,8313.302009340114
671,8761.270032833296
675,8923.299525989061
677,8791.024226245923
679,9737.287250803793
680,8833.098699543107
683,9856.438552404436
687,8845.637650034947
694,8767.077403281603
697,9038.299716138135
699,8489.516959431048
701,8491.182869754184
704,8690.676134287827
709,8763.442133475426
712,9491.936138760428
714,8424.340608198376
715,8815.646761158365
717,9831.753146688177
722,8933.342449835667
725,9415.056522320978
727,9526.574306903658
730,9748.572359138996
731,9363.874948221117
735,9066.317995209241
739,9069.948118380216
742,8936.976191166963
744,9252.565688924013
750,8694.581517551787
757,9418.452054613394
762,8803.075680623255
765,8803.787415553717
772,9433.424148743881
776,9613.899244182834
778,8884.942588453574
782,8890.882524412023
785,8635.224699052122
787,8836.478100213768
788,9637.033709242958
789,9146.906175691749
791,8551.376952688632
794,8747.43180771197
798,9755.377735677068
801,8914.79223606634
805,9653.685952383237
807,9336.42203333277
